OrderID,OrderDate,ShipDate,Region,Category,SubCategory,ProductName,CustomerName,Sales,Quantity,Discount,Profit,Year,Month,Profit %
ORD10019,5/30/22,6/3/22,Central,Technology,Accessories,Accessories Model 9,Customer 264,326.32,5,0.3,-16.65,2022,May,-5.10%
ORD10020,8/31/24,9/5/24,South,Technology,Machines,Machines Model 50,Customer 287,209.29,6,0,43.32,2024,Aug,20.70%
ORD10021,2/6/23,2/10/23,South,Office Supplies,Paper,Paper Model 4,Customer 98,177.56,1,0.2,1.24,2023,Feb,0.70%
ORD10022,3/10/22,3/12/22,East,Office Supplies,Binders,Binders Model 7,Customer 1,208.75,1,0.1,37.87,2022,Mar,18.14%
ORD10023,8/4/23,8/6/23,East,Technology,Phones,Phones Model 5,Customer 107,102.11,3,0.3,-11.56,2023,Aug,-11.32%
ORD10024,9/21/23,9/25/23,Central,Furniture,Bookcases,Bookcases Model 31,Customer 63,187.28,3,0.1,6.93,2023,Sep,3.70%
ORD10025,4/29/22,5/6/22,Central,Office Supplies,Paper,Paper Model 6,Customer 74,307.18,4,0.2,21.63,2022,Apr,7.04%
ORD10026,4/15/22,4/21/22,West,Office Supplies,Storage,Storage Model 34,Customer 12,441.86,3,0.2,19.97,2022,Apr,4.52%
ORD10027,7/30/22,8/4/22,East,Office Supplies,Binders,Binders Model 49,Customer 271,362.72,6,0.3,6.06,2022,Jul,1.67%
ORD10028,11/2/22,11/8/22,Central,Furniture,Bookcases,Bookcases Model 11,Customer 183,198.58,3,0.3,-17.78,2022,Nov,-8.95%
ORD10029,3/1/24,3/3/24,West,Technology,Machines,Machines Model 40,Customer 100,145.62,5,0.1,19.11,2024,Mar,13.12%
ORD10030,4/5/24,4/7/24,South,Office Supplies,Storage,Storage Model 23,Customer 15,198.24,2,0,23.83,2024,Apr,12.02%
ORD10031,1/29/22,2/5/22,Central,Office Supplies,Paper,Paper Model 29,Customer 179,521.90,3,0,64.41,2022,Jan,12.34%
ORD10032,9/4/24,9/7/24,South,Furniture,Chairs,Chairs Model 13,Customer 173,289.26,1,0,50.16,2024,Sep,17.34%
ORD10033,7/29/22,8/2/22,Central,Technology,Machines,Machines Model 42,Customer 44,115.77,1,0.2,-18.15,2022,Jul,-15.68%
ORD10034,5/4/24,5/10/24,South,Furniture,Tables,Tables Model 12,Customer 223,595.19,6,0,97.97,2024,May,16.46%
ORD10035,3/19/24,3/25/24,South,Office Supplies,Binders,Binders Model 26,Customer 44,310.02,6,0.2,3.72,2024,Mar,1.20%
ORD10036,1/13/24,1/15/24,South,Furniture,Chairs,Chairs Model 42,Customer 75,268.12,1,0,25.79,2024,Jan,9.62%
ORD10037,9/19/23,9/26/23,West,Technology,Accessories,Accessories Model 36,Customer 281,280.08,6,0.1,31.81,2023,Sep,11.36%
ORD10038,5/15/22,5/16/22,West,Furniture,Bookcases,Bookcases Model 28,Customer 100,428.00,6,0,65.77,2022,May,15.37%
ORD10039,4/25/24,5/2/24,Central,Furniture,Chairs,Chairs Model 33,Customer 124,142.18,3,0,16.02,2024,Apr,11.27%
ORD10040,2/22/24,2/27/24,West,Office Supplies,Paper,Paper Model 4,Customer 182,482.25,5,0.2,19.53,2024,Feb,4.05%
ORD10041,7/8/24,7/12/24,West,Technology,Machines,Machines Model 35,Customer 78,280.91,5,0.2,4.24,2024,Jul,1.51%
ORD10042,6/21/23,6/26/23,East,Furniture,Tables,Tables Model 50,Customer 77,106.53,2,0.3,1.83,2023,Jun,1.72%
ORD10043,6/26/22,6/28/22,East,Office Supplies,Storage,Storage Model 21,Customer 266,335.04,6,0,44.12,2022,Jun,13.17%
ORD10044,6/28/23,7/3/23,West,Office Supplies,Binders,Binders Model 13,Customer 142,222.57,5,0,29.09,2023,Jun,13.07%
ORD10045,2/13/22,2/20/22,East,Furniture,Bookcases,Bookcases Model 49,Customer 33,119.04,4,0.3,-2.12,2022,Feb,-1.78%
ORD10046,3/30/23,4/2/23,West,Technology,Machines,Machines Model 45,Customer 142,301.62,5,0.3,1.31,2023,Mar,0.43%
ORD10047,4/9/23,4/14/23,Central,Technology,Accessories,Accessories Model 36,Customer 104,446.88,5,0,64.7,2023,Apr,14.48%
ORD10048,5/10/24,5/14/24,South,Furniture,Tables,Tables Model 21,Customer 38,350.41,1,0.2,20.36,2024,May,5.81%
ORD10049,11/19/23,11/21/23,East,Office Supplies,Binders,Binders Model 50,Customer 80,129.03,2,0.1,3.31,2023,Nov,2.57%
ORD10050,8/20/24,8/26/24,Central,Technology,Machines,Machines Model 9,Customer 240,165.41,3,0,26.91,2024,Aug,16.27%
ORD10051,8/13/22,8/19/22,West,Furniture,Tables,Tables Model 11,Customer 221,105.13,4,0,12.55,2022,Aug,11.94%
ORD10052,6/12/23,6/16/23,Central,Office Supplies,Paper,Paper Model 6,Customer 188,63.31,2,0.1,10.06,2023,Jun,15.89%
ORD10053,1/20/22,1/23/22,South,Technology,Accessories,Accessories Model 22,Customer 265,177.55,4,0,22.25,2022,Jan,12.53%
ORD10054,10/1/23,10/4/23,East,Technology,Phones,Phones Model 6,Customer 136,105.83,1,0,10.73,2023,Oct,10.14%
ORD10055,10/6/22,10/7/22,Central,Furniture,Tables,Tables Model 26,Customer 77,102.23,2,0.2,-1.21,2022,Oct,-1.18%
ORD10056,7/4/23,7/9/23,East,Technology,Accessories,Accessories Model 18,Customer 30,221.67,6,0.1,4.23,2023,Jul,1.91%
ORD10057,3/29/24,4/4/24,East,Furniture,Tables,Tables Model 41,Customer 46,449.82,1,0.1,32.88,2024,Mar,7.31%
ORD10058,3/31/24,4/3/24,Central,Furniture,Bookcases,Bookcases Model 8,Customer 233,85.26,2,0,20.38,2024,Mar,23.90%
ORD10059,1/12/22,1/15/22,West,Technology,Accessories,Accessories Model 3,Customer 270,348.24,3,0.3,12.88,2022,Jan,3.70%
ORD10060,12/28/23,12/30/23,West,Furniture,Chairs,Chairs Model 13,Customer 160,510.37,3,0,61.58,2023,Dec,12.07%
ORD10061,10/6/23,10/9/23,West,Technology,Phones,Phones Model 18,Customer 178,403.81,3,0.2,26.93,2023,Oct,6.67%
ORD10062,4/2/24,4/3/24,West,Office Supplies,Binders,Binders Model 33,Customer 244,118.47,1,0,9.65,2024,Apr,8.15%
ORD10063,9/9/22,9/13/22,South,Furniture,Bookcases,Bookcases Model 35,Customer 202,45.71,6,0.2,-13.72,2022,Sep,-30.02%
ORD10064,9/20/24,9/25/24,Central,Office Supplies,Storage,Storage Model 13,Customer 72,349.92,2,0,58.1,2024,Sep,16.60%
ORD10065,2/19/23,2/22/23,Central,Furniture,Chairs,Chairs Model 28,Customer 84,319.31,1,0,41.03,2023,Feb,12.85%
ORD10066,2/26/22,2/27/22,West,Technology,Accessories,Accessories Model 45,Customer 151,256.39,5,0.1,37.83,2022,Feb,14.75%
ORD10067,2/16/22,2/20/22,East,Furniture,Chairs,Chairs Model 17,Customer 187,606.92,3,0.2,32.72,2022,Feb,5.39%
ORD10068,9/11/24,9/14/24,Central,Technology,Accessories,Accessories Model 14,Customer 183,191.64,2,0,40.13,2024,Sep,20.94%
ORD10069,7/7/22,7/8/22,Central,Office Supplies,Paper,Paper Model 33,Customer 103,97.90,1,0.2,15.38,2022,Jul,15.71%
ORD10070,9/12/22,9/17/22,West,Furniture,Chairs,Chairs Model 26,Customer 22,58.40,3,0,29.4,2022,Sep,50.34%
ORD10071,2/8/23,2/9/23,East,Office Supplies,Paper,Paper Model 38,Customer 271,230.08,6,0,27.84,2023,Feb,12.10%
ORD10072,5/23/24,5/30/24,South,Furniture,Bookcases,Bookcases Model 49,Customer 167,346.46,6,0.3,1.47,2024,May,0.42%
ORD10073,1/8/24,1/12/24,West,Furniture,Tables,Tables Model 3,Customer 263,142.78,6,0.3,13.89,2024,Jan,9.73%
ORD10074,10/5/23,10/9/23,East,Technology,Machines,Machines Model 44,Customer 300,181.01,5,0,35.04,2023,Oct,19.36%
ORD10075,3/28/24,4/3/24,East,Technology,Machines,Machines Model 2,Customer 22,96.98,6,0,26.11,2024,Mar,26.92%
ORD10076,5/17/22,5/23/22,East,Office Supplies,Binders,Binders Model 41,Customer 10,113.51,4,0.2,2.51,2022,May,2.21%
ORD10077,10/4/23,10/9/23,East,Technology,Phones,Phones Model 30,Customer 36,170.64,4,0.1,20.61,2023,Oct,12.08%
ORD10078,2/6/24,2/11/24,East,Technology,Phones,Phones Model 48,Customer 243,158.72,6,0.3,0.39,2024,Feb,0.25%
ORD10079,9/16/22,9/23/22,West,Furniture,Tables,Tables Model 48,Customer 236,411.45,2,0,53.55,2022,Sep,13.01%
ORD10080,5/21/23,5/28/23,East,Office Supplies,Binders,Binders Model 40,Customer 102,195.73,4,0.1,17.3,2023,May,8.84%
ORD10081,3/21/22,3/26/22,West,Furniture,Tables,Tables Model 1,Customer 247,222.11,3,0.1,13.24,2022,Mar,5.96%
ORD10082,3/4/22,3/8/22,South,Office Supplies,Storage,Storage Model 19,Customer 265,308.15,1,0,38.82,2022,Mar,12.60%
ORD10083,10/20/22,10/24/22,West,Office Supplies,Paper,Paper Model 20,Customer 44,198.42,1,0.3,-0.12,2022,Oct,-0.06%
ORD10084,8/16/24,8/20/24,South,Furniture,Tables,Tables Model 18,Customer 199,205.74,4,0,25.67,2024,Aug,12.48%
ORD10085,8/3/22,8/5/22,Central,Furniture,Bookcases,Bookcases Model 24,Customer 68,89.04,1,0,29.49,2022,Aug,33.12%
ORD10086,9/10/23,9/17/23,Central,Technology,Machines,Machines Model 15,Customer 255,164.99,3,0,27.59,2023,Sep,16.72%
ORD10087,7/8/24,7/12/24,South,Office Supplies,Binders,Binders Model 44,Customer 231,399.83,2,0,24.71,2024,Jul,6.18%
ORD10088,2/20/23,2/23/23,South,Technology,Phones,Phones Model 21,Customer 62,315.91,4,0.1,19.86,2023,Feb,6.29%
ORD10089,5/10/24,5/13/24,East,Furniture,Tables,Tables Model 13,Customer 7,152.66,3,0.2,13.6,2024,May,8.91%
ORD10090,7/12/24,7/18/24,South,Office Supplies,Paper,Paper Model 25,Customer 40,201.37,3,0,27.91,2024,Jul,13.86%
ORD10091,1/5/23,1/9/23,East,Office Supplies,Binders,Binders Model 43,Customer 147,308.04,3,0,43.01,2023,Jan,13.96%
ORD10092,10/13/23,10/15/23,Central,Furniture,Tables,Tables Model 13,Customer 192,170.48,4,0.3,-9.96,2023,Oct,-5.84%
ORD10093,3/14/24,3/18/24,West,Furniture,Bookcases,Bookcases Model 47,Customer 42,568.47,4,0.3,-1.87,2024,Mar,-0.33%
ORD10094,2/20/22,2/26/22,Central,Office Supplies,Paper,Paper Model 32,Customer 26,73.12,5,0,14.74,2022,Feb,20.16%
ORD10095,7/22/24,7/27/24,Central,Furniture,Chairs,Chairs Model 19,Customer 153,221.47,4,0.2,6.26,2024,Jul,2.83%
ORD10096,9/19/22,9/25/22,West,Technology,Machines,Machines Model 20,Customer 248,165.88,3,0.2,11.39,2022,Sep,6.87%
ORD10097,7/25/23,7/31/23,East,Office Supplies,Binders,Binders Model 14,Customer 257,310.88,2,0,40.65,2023,Jul,13.08%
ORD10098,7/16/24,7/23/24,Central,Office Supplies,Storage,Storage Model 49,Customer 231,282.52,2,0.2,6.89,2024,Jul,2.44%
ORD10099,3/14/23,3/16/23,West,Technology,Phones,Phones Model 22,Customer 285,136.59,2,0,12.7,2023,Mar,9.30%
ORD10100,4/4/22,4/7/22,West,Furniture,Tables,Tables Model 2,Customer 212,47.22,3,0.3,9.03,2022,Apr,19.12%
ORD10101,1/28/23,2/1/23,Central,Technology,Machines,Machines Model 22,Customer 32,74.47,2,0.2,0.66,2023,Jan,0.89%
ORD10102,5/26/23,5/29/23,West,Technology,Accessories,Accessories Model 6,Customer 139,72.93,2,0.3,-2.23,2023,May,-3.06%
ORD10103,7/7/24,7/9/24,South,Office Supplies,Paper,Paper Model 20,Customer 12,421.26,6,0.2,34.29,2024,Jul,8.14%
ORD10104,5/11/22,5/12/22,South,Office Supplies,Storage,Storage Model 1,Customer 38,281.53,4,0.3,-0.31,2022,May,-0.11%
ORD10105,2/5/23,2/12/23,East,Technology,Accessories,Accessories Model 15,Customer 80,324.82,4,0,53.7,2023,Feb,16.53%
ORD10106,6/5/22,6/10/22,East,Technology,Phones,Phones Model 36,Customer 21,505.90,6,0.2,25.38,2022,Jun,5.02%
ORD10107,1/2/22,1/9/22,Central,Furniture,Chairs,Chairs Model 9,Customer 129,123.34,5,0,28,2022,Jan,22.70%
ORD10108,6/25/23,7/1/23,East,Office Supplies,Storage,Storage Model 20,Customer 269,83.33,1,0,15.08,2023,Jun,18.10%
ORD10109,8/24/24,8/29/24,East,Furniture,Tables,Tables Model 1,Customer 276,52.21,3,0,5.54,2024,Aug,10.61%
ORD10110,11/5/22,11/9/22,South,Office Supplies,Paper,Paper Model 34,Customer 121,153.09,6,0,11,2022,Nov,7.19%
ORD10111,7/15/23,7/17/23,East,Furniture,Tables,Tables Model 2,Customer 100,213.68,6,0.1,7.45,2023,Jul,3.49%
ORD10112,5/26/23,6/1/23,West,Technology,Accessories,Accessories Model 43,Customer 218,143.55,1,0.1,17.4,2023,May,12.12%
ORD10113,8/5/24,8/8/24,South,Furniture,Tables,Tables Model 24,Customer 203,195.76,1,0.1,23.56,2024,Aug,12.04%
ORD10114,7/22/22,7/23/22,West,Office Supplies,Storage,Storage Model 32,Customer 103,295.84,5,0,43.83,2022,Jul,14.82%
ORD10115,11/16/22,11/23/22,Central,Furniture,Chairs,Chairs Model 49,Customer 152,104.32,4,0,0.84,2022,Nov,0.81%
ORD10116,4/22/22,4/27/22,South,Office Supplies,Storage,Storage Model 27,Customer 29,191.43,2,0,31.03,2022,Apr,16.21%
ORD10117,8/29/24,9/3/24,East,Furniture,Tables,Tables Model 39,Customer 73,104.92,1,0,10.06,2024,Aug,9.59%
ORD10118,3/2/23,3/3/23,South,Technology,Phones,Phones Model 46,Customer 161,268.01,2,0.2,-1.01,2023,Mar,-0.38%
ORD10119,1/21/24,1/22/24,West,Furniture,Chairs,Chairs Model 42,Customer 269,177.16,3,0,13.13,2024,Jan,7.41%
ORD10120,2/4/24,2/8/24,Central,Furniture,Tables,Tables Model 22,Customer 227,94.19,6,0.2,-1.75,2024,Feb,-1.86%
ORD10121,6/23/22,6/24/22,Central,Furniture,Chairs,Chairs Model 27,Customer 64,269.41,3,0,37.13,2022,Jun,13.78%
ORD10122,7/29/23,8/5/23,South,Furniture,Tables,Tables Model 6,Customer 26,471.06,3,0.1,39.74,2023,Jul,8.44%
ORD10123,12/24/23,12/28/23,West,Furniture,Tables,Tables Model 21,Customer 187,49.80,5,0.2,6.93,2023,Dec,13.92%
ORD10124,1/26/24,1/30/24,South,Furniture,Bookcases,Bookcases Model 3,Customer 193,210.59,4,0,32.31,2024,Jan,15.34%
ORD10125,2/5/22,2/9/22,East,Furniture,Chairs,Chairs Model 39,Customer 174,146.61,3,0,19.64,2022,Feb,13.40%
ORD10126,1/7/23,1/10/23,Central,Office Supplies,Storage,Storage Model 18,Customer 153,300.13,1,0.1,40.07,2023,Jan,13.35%
ORD10127,1/4/22,1/10/22,West,Technology,Machines,Machines Model 7,Customer 244,203.59,1,0,32.49,2022,Jan,15.96%
ORD10128,1/3/24,1/7/24,West,Office Supplies,Paper,Paper Model 32,Customer 94,229.26,4,0.2,16.7,2024,Jan,7.28%
ORD10129,1/9/22,1/16/22,West,Technology,Accessories,Accessories Model 21,Customer 164,74.38,6,0,8.6,2022,Jan,11.56%
ORD10130,4/17/23,4/20/23,South,Technology,Phones,Phones Model 49,Customer 82,234.32,5,0,52.94,2023,Apr,22.59%
ORD10131,9/11/22,9/15/22,Central,Furniture,Bookcases,Bookcases Model 11,Customer 219,249.23,1,0.2,3.36,2022,Sep,1.35%
ORD10132,6/23/24,6/24/24,West,Furniture,Tables,Tables Model 7,Customer 216,218.07,5,0,20.81,2024,Jun,9.54%
ORD10133,5/26/23,6/1/23,South,Office Supplies,Binders,Binders Model 30,Customer 121,248.32,2,0,36.42,2023,May,14.67%
ORD10134,2/5/24,2/10/24,Central,Technology,Phones,Phones Model 37,Customer 138,344.51,3,0.1,33.96,2024,Feb,9.86%
ORD10135,1/17/23,1/20/23,West,Technology,Accessories,Accessories Model 12,Customer 126,195.01,2,0.2,-13.94,2023,Jan,-7.15%
ORD10136,8/30/22,9/1/22,East,Office Supplies,Storage,Storage Model 26,Customer 129,212.10,2,0.1,19.46,2022,Aug,9.17%
ORD10137,9/9/22,9/14/22,South,Technology,Phones,Phones Model 3,Customer 53,309.54,6,0,47.78,2022,Sep,15.44%
ORD10138,1/5/22,1/9/22,Central,Furniture,Tables,Tables Model 15,Customer 62,133.18,3,0,17.11,2022,Jan,12.85%
ORD10139,2/21/22,2/23/22,Central,Technology,Machines,Machines Model 33,Customer 92,594.36,2,0,96.18,2022,Feb,16.18%
ORD10140,4/5/23,4/10/23,Central,Office Supplies,Storage,Storage Model 14,Customer 20,213.18,1,0,39.85,2023,Apr,18.69%
ORD10141,1/13/23,1/16/23,East,Furniture,Chairs,Chairs Model 39,Customer 105,146.05,2,0.1,6.82,2023,Jan,4.67%
ORD10142,4/14/24,4/15/24,West,Office Supplies,Paper,Paper Model 40,Customer 160,412.19,6,0.1,34.18,2024,Apr,8.29%
ORD10143,3/21/22,3/23/22,East,Furniture,Tables,Tables Model 27,Customer 52,271.84,5,0.2,21.11,2022,Mar,7.77%
ORD10144,3/25/24,3/29/24,East,Technology,Machines,Machines Model 42,Customer 84,137.75,2,0.3,-15.3,2024,Mar,-11.11%
ORD10145,2/12/23,2/18/23,South,Office Supplies,Paper,Paper Model 4,Customer 160,121.95,3,0.1,10.46,2023,Feb,8.58%
ORD10146,2/3/24,2/8/24,Central,Office Supplies,Paper,Paper Model 42,Customer 101,281.00,4,0,14.53,2024,Feb,5.17%
ORD10147,2/5/23,2/11/23,West,Office Supplies,Binders,Binders Model 28,Customer 59,137.81,1,0.2,4.38,2023,Feb,3.18%
ORD10148,4/20/24,4/21/24,West,Office Supplies,Storage,Storage Model 9,Customer 8,115.14,3,0.2,2.22,2024,Apr,1.93%
ORD10149,2/22/22,2/27/22,Central,Furniture,Bookcases,Bookcases Model 48,Customer 259,151.60,4,0,13.33,2022,Feb,8.79%
ORD10150,6/25/22,6/27/22,West,Office Supplies,Paper,Paper Model 5,Customer 56,147.46,2,0.3,9.12,2022,Jun,6.18%
ORD10151,1/28/23,2/1/23,South,Furniture,Tables,Tables Model 21,Customer 28,115.01,2,0,14.19,2023,Jan,12.34%
ORD10152,9/15/23,9/21/23,West,Office Supplies,Binders,Binders Model 41,Customer 114,292.20,6,0.3,3.49,2023,Sep,1.19%
ORD10153,9/28/23,10/2/23,West,Technology,Phones,Phones Model 3,Customer 205,274.22,4,0,44.66,2023,Sep,16.29%
ORD10154,8/19/24,8/24/24,West,Furniture,Tables,Tables Model 16,Customer 99,577.96,3,0,78.39,2024,Aug,13.56%
ORD10155,2/12/22,2/17/22,East,Technology,Phones,Phones Model 25,Customer 234,268.04,6,0.1,34.09,2022,Feb,12.72%
ORD10156,7/18/23,7/25/23,Central,Technology,Accessories,Accessories Model 38,Customer 128,365.66,6,0.2,-9.66,2023,Jul,-2.64%
ORD10157,3/12/23,3/16/23,South,Technology,Accessories,Accessories Model 12,Customer 12,376.59,4,0.3,-9.13,2023,Mar,-2.42%
ORD10158,1/4/22,1/9/22,South,Office Supplies,Paper,Paper Model 12,Customer 243,207.82,2,0.2,3.15,2022,Jan,1.52%
ORD10159,2/14/23,2/15/23,Central,Furniture,Chairs,Chairs Model 6,Customer 227,205.65,3,0.2,-5.08,2023,Feb,-2.47%
ORD10160,6/1/23,6/6/23,East,Technology,Phones,Phones Model 47,Customer 161,186.22,1,0,31.05,2023,Jun,16.67%
ORD10161,3/7/24,3/13/24,South,Technology,Phones,Phones Model 42,Customer 70,50.66,1,0.3,1.02,2024,Mar,2.01%
ORD10162,1/27/22,2/3/22,West,Furniture,Bookcases,Bookcases Model 9,Customer 252,314.25,6,0,57.9,2022,Jan,18.42%
ORD10163,10/22/22,10/29/22,East,Furniture,Bookcases,Bookcases Model 23,Customer 130,423.82,6,0,65.84,2022,Oct,15.53%
ORD10164,6/12/22,6/15/22,Central,Technology,Accessories,Accessories Model 33,Customer 246,231.18,4,0,32.28,2022,Jun,13.96%
ORD10165,8/2/22,8/7/22,Central,Office Supplies,Storage,Storage Model 24,Customer 19,236.15,5,0,40.13,2022,Aug,16.99%
ORD10166,7/23/22,7/25/22,Central,Office Supplies,Binders,Binders Model 25,Customer 87,110.41,6,0.1,19.24,2022,Jul,17.43%
ORD10167,3/22/24,3/29/24,Central,Office Supplies,Binders,Binders Model 29,Customer 285,131.85,5,0,24.39,2024,Mar,18.50%
ORD10168,6/18/23,6/23/23,South,Technology,Phones,Phones Model 48,Customer 191,367.53,3,0.3,9.04,2023,Jun,2.46%
ORD10169,9/29/22,10/3/22,Central,Office Supplies,Storage,Storage Model 49,Customer 42,118.05,2,0.1,9.19,2022,Sep,7.78%
ORD10170,3/29/23,3/31/23,Central,Furniture,Bookcases,Bookcases Model 34,Customer 130,160.91,6,0,22.73,2023,Mar,14.13%
ORD10171,11/14/22,11/20/22,East,Technology,Machines,Machines Model 15,Customer 77,141.06,3,0,8.85,2022,Nov,6.27%
ORD10172,10/25/22,10/30/22,Central,Technology,Accessories,Accessories Model 4,Customer 68,93.39,4,0.3,7.24,2022,Oct,7.75%
ORD10173,5/16/23,5/18/23,East,Technology,Machines,Machines Model 1,Customer 291,222.46,1,0,34.96,2023,May,15.72%
ORD10174,12/30/22,1/2/23,West,Furniture,Bookcases,Bookcases Model 27,Customer 299,445.78,3,0.3,-18.76,2022,Dec,-4.21%
ORD10175,11/5/22,11/10/22,South,Furniture,Chairs,Chairs Model 11,Customer 69,262.23,3,0.3,6.77,2022,Nov,2.58%
ORD10176,1/15/22,1/22/22,East,Furniture,Bookcases,Bookcases Model 5,Customer 75,101.97,2,0.2,8.07,2022,Jan,7.91%
ORD10177,6/11/24,6/17/24,East,Office Supplies,Paper,Paper Model 42,Customer 288,236.48,3,0,36.65,2024,Jun,15.50%
ORD10178,7/3/24,7/6/24,South,Technology,Machines,Machines Model 16,Customer 85,133.90,5,0.2,-11.1,2024,Jul,-8.29%
ORD10179,7/14/24,7/15/24,South,Furniture,Chairs,Chairs Model 12,Customer 122,112.11,5,0,-6.64,2024,Jul,-5.92%
ORD10180,6/13/22,6/14/22,West,Furniture,Chairs,Chairs Model 10,Customer 212,120.44,5,0.3,-12.98,2022,Jun,-10.78%
ORD10181,7/24/22,7/29/22,West,Technology,Machines,Machines Model 33,Customer 159,266.64,5,0.2,3.16,2022,Jul,1.19%
ORD10182,3/7/22,3/10/22,East,Technology,Phones,Phones Model 25,Customer 224,144.82,6,0.2,-0.58,2022,Mar,-0.40%
ORD10183,2/3/24,2/7/24,West,Furniture,Bookcases,Bookcases Model 15,Customer 54,194.81,6,0.2,10.02,2024,Feb,5.14%
ORD10184,9/25/22,9/27/22,Central,Technology,Phones,Phones Model 46,Customer 27,409.86,1,0.1,36.11,2022,Sep,8.81%
ORD10185,9/30/22,10/6/22,Central,Technology,Machines,Machines Model 19,Customer 112,246.64,4,0.3,4.73,2022,Sep,1.92%
ORD10186,3/29/22,4/3/22,West,Furniture,Chairs,Chairs Model 11,Customer 168,128.40,3,0,6.66,2022,Mar,5.19%
ORD10187,7/16/22,7/20/22,South,Office Supplies,Storage,Storage Model 31,Customer 272,286.73,2,0.2,43.94,2022,Jul,15.32%
ORD10188,12/16/23,12/17/23,Central,Furniture,Tables,Tables Model 14,Customer 201,121.92,6,0,15.07,2023,Dec,12.36%
ORD10189,9/30/23,10/5/23,East,Furniture,Bookcases,Bookcases Model 2,Customer 58,209.70,2,0,29.38,2023,Sep,14.01%
ORD10190,4/20/22,4/25/22,East,Furniture,Tables,Tables Model 3,Customer 71,67.63,2,0,13.53,2022,Apr,20.01%
ORD10191,12/11/23,12/17/23,East,Technology,Phones,Phones Model 5,Customer 187,176.44,6,0,18.17,2023,Dec,10.30%
ORD10192,7/24/22,7/31/22,East,Technology,Machines,Machines Model 16,Customer 106,325.26,1,0.2,7.33,2022,Jul,2.25%
ORD10193,7/28/22,7/29/22,Central,Furniture,Chairs,Chairs Model 31,Customer 52,556.62,6,0,87.77,2022,Jul,15.77%
ORD10194,5/16/22,5/17/22,Central,Technology,Phones,Phones Model 28,Customer 134,292.07,3,0.1,9.79,2022,May,3.35%
ORD10195,1/22/22,1/25/22,Central,Office Supplies,Paper,Paper Model 50,Customer 258,188.35,1,0.1,7.6,2022,Jan,4.04%
ORD10196,5/3/23,5/10/23,South,Office Supplies,Storage,Storage Model 2,Customer 224,367.29,6,0,48.43,2023,May,13.19%
ORD10197,6/16/23,6/23/23,West,Furniture,Tables,Tables Model 46,Customer 47,410.79,4,0,33.23,2023,Jun,8.09%
ORD10198,8/12/23,8/19/23,West,Office Supplies,Binders,Binders Model 19,Customer 28,339.62,4,0,57.52,2023,Aug,16.94%
